fecha,ticker,moneda,precio,fuente_url,notas
2026-07-22,YPFD,ARS,82500.00,https://www.rava.com/perfil/YPFD,Cierre rueda BYMA 18:04; split 10x programado 2026-08-04
2026-07-22,GGAL,ARS,8275.00,https://www.rava.com/perfil/GGAL,Cierre rueda BYMA 18:04
2026-07-22,BMA,ARS,15280.00,https://www.rava.com/perfil/BMA,Cierre rueda BYMA 18:04
2026-07-22,BBAR,ARS,10830.00,https://www.rava.com/perfil/BBAR,Cierre rueda BYMA 18:04
2026-07-22,PAMP,ARS,5625.00,https://www.rava.com/perfil/PAMP,Cierre rueda BYMA 18:04
2026-07-22,CRES,ARS,1835.00,https://www.rava.com/perfil/CRES,Cierre rueda BYMA 18:04
2026-07-22,TECO2,ARS,4420.00,https://www.rava.com/perfil/TECO2,Cierre rueda BYMA 18:04
2026-07-22,TGSU2,ARS,9905.00,https://www.rava.com/perfil/TGSU2,Cierre rueda BYMA 18:04
2026-07-22,ALUA,ARS,974.00,https://www.rava.com/perfil/ALUA,Cierre rueda BYMA 18:04
2026-07-22,TXAR,ARS,668.00,https://www.rava.com/perfil/TXAR,Cierre rueda BYMA 18:04
2026-07-22,LOMA,ARS,3810.00,https://www.rava.com/perfil/LOMA,Cierre rueda BYMA 18:04
2026-07-22,CEPU,ARS,2411.00,https://www.rava.com/perfil/CEPU,Cierre rueda BYMA 18:04
2026-07-22,TRAN,ARS,3650.00,https://www.rava.com/perfil/TRAN,Cierre rueda BYMA 18:04
2026-07-22,COME,ARS,43.14,https://www.rava.com/perfil/COME,Cierre rueda BYMA 18:04
2026-07-22,SUPV,ARS,3185.00,https://www.rava.com/perfil/SUPV,Cierre rueda BYMA 18:04
2026-07-22,EDN,ARS,2140.00,https://www.rava.com/perfil/EDN,Cierre rueda BYMA 18:04
2026-07-22,CVH,ARS,9260.00,https://www.rava.com/perfil/CVH,Cierre rueda BYMA 18:04
2026-07-22,IRSA,ARS,2450.00,https://www.rava.com/perfil/IRSA,Cierre rueda BYMA 18:04
2026-07-22,MIRG,ARS,16925.00,https://www.rava.com/perfil/MIRG,Cierre rueda BYMA 18:04
