fecha,ticker,moneda,precio,fuente_url,notas
2026-07-22,MELI,USD,1799.21,https://stockanalysis.com/stocks/meli/,Cierre sesion regular
2026-07-22,GLOB,USD,30.67,https://stockanalysis.com/stocks/glob/,Cierre sesion regular
2026-07-22,VIST,USD,67.02,https://stockanalysis.com/stocks/vist/,Cierre sesion regular
2026-07-22,BMA,USD,97.63,https://stockanalysis.com/stocks/bma/,Cierre sesion regular
2026-07-22,GGAL,USD,53.24,https://stockanalysis.com/stocks/ggal/,Cierre sesion regular; Nasdaq
2026-07-22,YPF,USD,52.51,https://stockanalysis.com/stocks/ypf/,Cierre sesion regular
2026-07-22,PAM,USD,89.39,https://stockanalysis.com/stocks/pam/,Cierre sesion regular
2026-07-22,TEO,USD,13.99,https://stockanalysis.com/stocks/teo/,Cierre sesion regular
2026-07-22,IRS,USD,15.59,https://stockanalysis.com/stocks/irs/,Cierre sesion regular; IRSA Inversiones y Representaciones
2026-07-22,LOMA,USD,12.19,https://stockanalysis.com/stocks/loma/,Cierre sesion regular
2026-07-22,CEPU,USD,15.45,https://stockanalysis.com/stocks/cepu/,Cierre sesion regular
2026-07-22,CAAP,USD,25.08,https://stockanalysis.com/stocks/caap/,Cierre sesion regular
2026-07-22,BIOX,USD,0.3425,https://stockanalysis.com/stocks/biox/,Cierre sesion regular; Biosidus, muy baja capitalizacion/liquidez
2026-07-22,AGRO,USD,11.31,https://stockanalysis.com/stocks/agro/,Cierre sesion regular; Adecoagro
2026-07-22,EDN,USD,27.27,https://stockanalysis.com/stocks/edn/,Cierre sesion regular; Edenor
2026-07-22,TGS,USD,31.48,https://stockanalysis.com/stocks/tgs/,Cierre sesion regular
2026-07-22,CRESY,USD,11.74,https://stockanalysis.com/stocks/cresy/,Cierre sesion regular; Cresud
2026-07-22,SUPV,USD,10.24,https://stockanalysis.com/stocks/supv/,Cierre sesion regular; Grupo Supervielle
